user,value
620,11
253,26
224,11
865,42
711,11
905,34
882,26
891,42
140,11
61,41
706,44
83,22
787,27
298,41
287,42
503,36
220,22
148,42
307,24
431,4
339,42
367,22
580,42
522,42
483,26
175,15
550,42
300,39
122,42
665,11
297,42
139,34
658,9
308,21
150,3
317,44
687,39
812,39
504,20
525,11
464,22
517,22
2,30
54,12
191,26
728,9
450,27
179,34
559,31
228,40
574,26
403,7
394,15
489,11
362,20
329,23
89,26
340,11
449,42
659,11
427,27
404,42
585,41
967,11
405,1
276,26
184,42
860,11
469,26
895,42
449,34
107,10
637,27
704,30
755,22
22,42
839,18
844,42
918,12
200,13
27,25
39,42
138,42
588,42
278,11
441,25
823,42
19,31
656,42
448,22
620,11
100,43
633,7
644,25
946,42
718,18
404,15
234,22
84,21
759,11
780,42
466,42
504,27
943,22
102,3
876,42
570,3
326,11
97,28
992,26
855,25
846,22
596,22
243,42
772,39
60,42
965,40
608,23
998,42
388,4
885,22
924,3
129,42
588,25
949,42
382,11
183,42
835,40
683,11
645,11
787,11
423,40
880,42
20,44
72,11
709,24
583,26
311,31
636,21
239,41
268,20
836,22
71,26
375,41
941,24
273,41
165,11
126,42
769,42
866,24
57,27
139,27
563,30
185,41
687,44
991,27
343,42
586,42
399,42
885,41
456,42
222,40
930,11
907,0
945,44
391,12
186,42
81,44
527,42
337,11
817,10
742,22
839,22
923,22
723,42
110,11
793,42
872,26
679,11
678,11
296,41
873,42
850,11
288,25
430,39
663,41
782,42
159,26
251,26
123,24
193,23
445,26
135,11
51,11
125,22
313,8
329,26
490,41
833,44
681,0
347,11
769,22
700,39
348,24
523,42
333,26
874,42
35,11
549,33
211,43
567,11
376,11
2,44
221,42
405,40
203,23
916,25
738,13
96,11
757,44
102,11
624,34
558,22
478,43
289,18
670,23
583,39
275,11
837,18
558,43
541,18
835,18
10,42
313,11
828,23
631,42
493,34
825,18
889,34
539,42
166,42
652,27
605,31
389,22
915,26
168,44
427,34
901,24
232,42
846,25
664,41
975,22
350,3
320,11
23,11
85,26
468,26
462,27
897,41
632,34
649,41
925,42
586,34
27,41
12,26
264,22
373,26
582,39
794,22
851,24
818,42
184,41
694,36
95,42
941,11
463,25
307,11
55,25
497,11
545,18
205,22
619,26
62,26
11,34
879,41
251,34
930,43
155,27
885,11
310,1
184,25
59,22
593,11
841,20
719,20
960,11
818,48
213,7
221,25
232,22
518,11
742,26
939,9
995,27
900,11
625,11
784,11
257,39
534,27
222,22
617,22
391,47
454,31
243,20
135,40
149,42
578,42
209,24
431,22
448,42
771,21
537,11
223,20
416,40
52,11
79,33
819,42
756,41
681,41
528,18
526,42
185,16
461,41
511,40
709,22
109,26
279,20
150,24
79,26
97,42
918,27
301,22
277,26
984,24
887,22
668,22
658,12
384,42
131,26
392,22
157,26
638,42
457,42
492,11
793,34
838,27
157,19
895,29
497,20
796,25
130,24
293,42
878,23
977,11
812,33
947,42
685,21
703,27
49,41
955,42
318,22
82,22
522,42
416,29
51,42
347,20
404,20
796,27
825,42
987,39
942,39
935,25
261,22
645,47
440,20
939,34
592,27
948,42
677,24
78,27
133,42
95,42
887,34
48,11
753,11
327,34
879,15
240,26
372,11
716,18
125,11
857,25
525,39
262,42
896,42
62,11
723,25
373,41
163,11
777,34
10,11
706,27
538,39
241,21
921,11
156,18
862,5
707,34
865,28
175,15
584,27
450,26
792,42
513,11
299,41
645,22
431,26
447,23
671,13
826,41
452,22
98,11
610,11
431,11
333,30
989,26
174,11
525,22
13,20
390,7
494,11
732,11
261,11
644,42
437,44
711,26
515,42
358,40
226,42
659,21
760,42
381,34
328,41
76,11
706,40
75,11
166,25
79,41
420,26
216,41
980,22
607,11
610,10
494,11
175,26
152,11
922,26
196,18
948,13
25,42
723,34
18,44
479,11
837,22
540,11
915,26
253,7
162,27
265,11
608,42
200,18
370,11
161,25
965,15
904,41
840,42
515,9
806,27
891,25
118,31
623,34
593,39
988,15
863,11
253,15
850,11
500,27
189,11
410,18
187,41
916,42
84,40
750,20
983,26
912,18
440,42
810,18
367,21
92,42
853,42
844,22
359,11
976,24
260,11
476,42
510,42
887,22
988,20
149,41
969,26
123,11
551,11
479,11
342,27
144,23
427,28
121,40
929,42
649,11
732,11
868,11
398,42
424,42
23,25
345,42
755,20
427,14
354,21
88,34
218,42
143,9
583,40
822,11
398,42
846,11
844,23
97,22
687,26
600,46
692,39
888,26
176,47
947,42
991,42
184,27
130,25
473,11
862,21
348,42
819,27
157,7
872,11
714,2
133,40
631,18
389,26
446,42
214,18
899,42
275,42
640,26
52,11
353,39
758,22
770,42
386,15
87,26
147,27
736,11
387,42
33,27
619,42
996,15
968,22
87,41
249,41
273,15
374,26
716,42
959,11
750,26
289,42
840,21
731,25
188,9
229,27
231,28
722,11
253,42
626,42
354,42
901,27
719,11
311,40
377,9
663,44
782,44
181,23
318,11
585,33
31,11
681,34
480,41
588,16
849,22
525,42
222,6
980,42
650,11
96,42
38,10
786,41
890,41
43,20
302,27
443,10
436,11
485,7
291,20
602,20
462,44
214,42
152,15
624,22
99,41
432,11
895,11
664,2
815,26
749,39
461,9
916,20
892,41
381,11
363,11
843,39
476,11
94,42
534,39
883,41
300,27
562,18
810,21
245,42
571,11
224,42
369,44
179,27
892,34
931,42
675,25
334,22
658,34
732,40
191,27
40,11
55,11
758,11
792,26
902,11
628,42
354,11
4,44
733,42
225,41
734,40
398,11
298,26
219,21
24,7
424,11
505,42
469,42
375,11
566,42
849,18
217,26
517,11
884,26
901,34
283,18
287,27
929,36
310,31
990,26
432,22
167,33
614,42
184,9
24,42
644,11
521,15
92,20
299,46
424,42
520,11
711,11
709,42
865,22
204,27
88,41
316,26
396,15
344,11
554,42
728,18
437,11
78,11
886,11
161,47
618,41
330,27
396,31
307,42
813,22
320,11
932,11
14,42
908,42
445,49
981,42
141,39
885,21
520,42
754,18
390,40
569,18
547,11
575,42
968,25
552,11
63,11
143,42
572,11
9,42
732,41
927,42
403,20
4,22
478,11
381,11
882,42
433,42
113,30
884,49
579,22
480,42
721,42
863,21
542,42
751,42
38,18
533,22
589,41
807,18
467,11
146,11
59,34
886,11
658,31
82,42
54,47
564,27
642,8
534,7
687,26
317,27
484,42
326,42
397,24
584,11
647,42
999,11
296,9
181,23
590,26
64,18
304,25
833,22
153,11
20,24
600,42
523,42
363,11
455,22
104,22
836,11
522,26
852,41
461,41
842,42
815,26
516,9
475,22
453,11
713,41
198,11
60,2
548,36
892,11
135,42
220,11
37,22
765,22
467,22
269,11
554,11
190,11
689,41
175,42
674,11
932,42
661,48
986,26
534,11
939,42
97,44
930,11
150,9
884,42
145,11
103,42
970,26
269,26
984,39
512,25
824,11
722,44
761,26
602,22
767,42
498,25
866,42
417,41
854,42
425,42
485,42
987,11
456,42
744,41
298,42
933,11
351,22
459,30
628,26
244,5
494,42
418,42
765,22
805,26
708,14
162,22
807,27
229,42
787,11
344,24
184,20
562,42
423,11
552,25
343,11
981,42
957,42
462,18
804,42
12,11
23,34
707,11
290,26
705,24
215,13
393,26
294,23
611,25
206,13
226,34
845,22
863,21
695,18
555,18
540,41
837,18
217,11
193,20
291,11
392,11
960,34
951,22
562,42
842,41
617,9
941,42
52,42
640,22
781,40
567,26
978,11
599,22
925,20
301,17
904,11
619,13
200,26
717,21
936,27
892,11
521,11
585,18
615,42
493,11
437,42
256,11
304,42
810,42
811,39
396,26
610,27
392,34
186,26
981,41
259,11
508,11
41,22
689,11
955,11
198,11
974,22
539,26
233,42
591,15
399,25
104,26
714,11
526,25
178,11
956,22
687,15
377,41
678,33
575,42
816,39
896,42
552,11
790,42
697,3
727,18
659,11
568,34
528,21
289,36
497,48
611,42
532,11
130,11
875,42
561,39
505,11
919,6
150,11
684,42
389,42
124,15
932,11
954,11
821,39
232,34
33,22
250,22
189,26
548,42
857,42
64,11
883,41
947,11
119,25
247,7
565,42
624,42
457,22
187,11
87,42
676,9
127,27
898,42
519,41
730,42
878,11
56,41
585,42
157,25
236,24
241,19
529,3
36,44
358,42
2,41
770,42
705,11
33,11
285,42
724,42
861,42
573,44
651,11
800,39
649,40
535,40
422,7
102,11
775,27
286,42
447,11
979,20
285,15
620,20
64,26
873,7
415,11
95,42
812,23
121,11
218,6
146,42
464,42
342,25
862,23
110,24
578,26
134,11
592,42
426,15
473,11
851,23
184,22
761,42
316,22
213,47
280,34
227,40
289,6
557,26
8,11
482,11
98,42
185,26
141,22
500,18
505,42
444,11
899,28
706,9
956,11
399,11
836,42
987,42
382,24
682,42
216,41
835,44
28,41
210,33
955,34
562,22
740,11
296,23
182,6
296,11
521,26
418,9
547,22
692,11
990,42
373,11
653,42
870,42
355,11
77,11
439,42
598,11
401,42
580,40
275,21
465,42
572,42
28,48
483,42
101,33
153,42
601,34
169,27
264,42
85,22
648,40
361,44
558,42
462,44
685,27
818,20
722,18
614,11
519,1
465,42
181,42
655,42
780,11
919,22
692,34
700,11
163,27
774,18
214,42
928,25
532,26
679,34
893,22
207,11
510,16
386,11
623,31
194,21
724,25
475,22
899,27
948,31
561,27
322,41
900,24
207,14
206,11
888,42
922,11
800,26
258,26
299,29
860,25
669,11
930,39
334,18
89,42
394,28
624,36
101,5
178,11
893,42
243,25
560,11
934,22
627,34
748,11
13,42
166,42
623,26
35,42
605,39
771,11
87,34
732,11
774,9
521,15
666,42
451,25
777,13
50,42
914,34
378,24
281,11
807,18
829,22
667,42
299,11
51,11
405,26
478,42
694,21
310,21
625,26
596,11
948,42
337,41
158,40
978,9
853,3
959,18
706,42
581,19
653,22
318,22
737,5
899,11
284,23
73,11
837,25
275,11
214,18
688,42
875,40
771,41
11,18
991,26
877,26
696,42
881,22
145,13
710,11
484,22
527,21
506,20
584,42
180,11
976,26
281,41
715,40
415,19
500,25
523,11
425,9
337,34
166,11
812,42
85,11
925,42
577,34
748,42
316,25
367,25
917,20
49,22
456,27
436,41
239,42
369,25
685,23
880,42
654,34
304,42
531,3
974,11
968,42
967,27
669,39
801,42
153,11
987,20
526,42
550,42
373,11
642,20
489,40
634,11
767,20
350,42
995,11
505,15
324,44
799,11
810,42
763,11
998,22
493,11
639,11
562,42
777,7
850,27
174,11
716,27
601,34
311,22
125,27
475,12
821,42
939,20
153,41
140,11
798,20
1,42
956,11
888,34
756,11
276,23
220,11
141,16
403,11
971,41
553,11
915,43
118,27
479,34
506,18
276,25
262,46
781,44
416,26
537,22
770,11
563,31
111,11
375,11
811,42
445,22
967,27
99,11
24,42
432,30
135,26
230,21
487,39
939,26
528,11
789,11
876,23
297,47
78,18
378,42
12,42
196,24
969,44
2,25
853,42
551,11
3,22
160,23
860,27
792,42
330,22
175,22
648,40
330,42
82,26
613,21
818,26
877,21
50,11
690,11
156,22
583,23
77,11
247,23
851,11
12,11
314,42
889,18
951,21
119,30
764,20
131,42
375,42
532,44
542,11
255,11
92,39
755,42
236,48
592,48
830,42
676,11
993,25
362,42
415,22
152,42
574,42
872,11
759,23
801,36
523,31
180,11
669,36
478,22
3,27
57,42
382,11
104,11
754,41
192,26
432,39
831,15
704,40
543,42
736,11
264,20
372,39
0,26
445,24
982,11
537,18
321,20
29,22
885,42
88,42
399,15
875,27
124,25
984,42
419,42
390,20
708,26
859,11
274,31
657,11
998,27
664,11
628,42
254,22
884,26
924,21
256,44
862,22
503,16
137,27
938,11
99,15
644,13
636,42
734,18
554,44
870,42
537,42
54,31
813,6
107,42
913,15
670,42
939,25
328,7
572,11
969,42
45,11
578,39
433,11
733,39
248,36
379,34
40,27
489,34
301,42
355,23
990,44
272,27
562,40
897,13
741,11
678,22
510,36
642,11
332,27
102,22
646,42
669,42
232,27
698,42
774,42
670,26
700,42
630,42
996,41
347,11
860,42
192,26
929,20
557,41
662,26
982,42
709,42
219,26
135,39
321,15
967,42
937,11
685,27
532,13
318,28
566,20
993,9
750,41
963,45
710,26
789,42
613,22
88,21
432,26
882,33
645,23
82,11
113,11
364,42
79,21
202,41
890,11
801,23
999,41
639,11
653,11
437,35
555,42
21,27
519,42
604,23
640,42
382,11
663,11
699,42
600,2
408,14
399,11
459,41
963,42
831,31
190,30
819,15
375,17
180,25
128,41
390,35
514,11
599,42
30,42
745,11
232,11
679,42
445,42
590,42
705,22
656,20
303,10
693,21
845,25
432,42
613,11
873,41
192,34
809,42
270,42
8,44
978,22
797,27
700,42
435,34
875,49
260,34
880,11
98,27
474,42
448,22
647,26
704,42
373,11
613,18
499,42
958,42
618,26
470,34
759,39
702,23
751,16
608,26
884,42
517,11
899,27
863,27
287,46
674,25
0,42
836,21
497,25
391,11
176,11
187,22
848,11
419,42
181,3
540,41
227,11
193,39
186,44
469,42
26,42
977,11
64,42
714,21
565,11
57,20
84,22
847,42
698,42
334,42
526,7
518,7
734,26
324,34
524,27
490,25
429,46
336,21
613,42
565,42
853,42
874,34
301,21
913,11
165,22
405,11
4,11
840,11
900,22
440,39
707,42
948,27
586,42
59,25
695,34
719,9
28,20
892,26
477,25
781,22
253,44
96,11
544,23
669,11
157,7
890,42
231,20
554,11
52,25
61,22
460,42
874,18
242,16
24,16
592,36
725,34
142,39
858,26
275,26
239,11
757,17
86,42
850,11
896,11
662,35
803,30
15,40
423,9
693,26
574,26
970,27
188,41
955,42
402,11
110,22
811,23
659,11
678,25
241,42
189,42
525,22
884,42
874,42
667,6
612,40
635,48
477,11
569,44
711,34
460,22
872,42
412,26
731,27
276,11
299,26
850,48
432,22
991,26
209,11
778,34
895,42
101,42
145,42
528,42
488,42
862,26
157,42
549,48
454,42
5,34
997,26
536,9
947,19
756,18
436,11
609,40
397,11
506,22
864,26
583,26
281,41
826,27
116,22
128,26
579,34
353,18
212,42
88,42
895,22
942,41
958,9
253,42
532,34
6,44
30,18
174,27
95,22
111,11
227,44
884,26
620,31
598,15
490,41
170,11
418,22
819,34
794,27
250,41
22,34
346,3
918,23
217,25
943,42
635,42
770,22
879,23
70,42
407,21
454,42
385,42
334,22
863,11
650,41
22,26
278,11
415,42
757,19
198,10
917,31
211,11
80,44
413,23
360,33
721,27
165,40
600,42
71,26
569,25
453,9
52,42
316,43
818,11
83,11
783,11
685,42
689,41
602,39
239,42
214,11
442,22
738,22
879,11
149,7
999,34
372,34
633,26
964,22
205,34
43,42
97,18
394,11
6,41
418,25
258,27
192,22
1,43
846,11
44,23
963,26
609,42
294,11
778,42
962,18
490,6
309,20
130,22
942,11
218,27
928,23
92,11
130,46
235,11
455,11
452,27
780,11
575,22
423,27
143,27
92,11
155,42
665,11
581,42
364,9
749,42
703,39
833,42
687,41
100,22
931,23
853,11
107,25
928,42
984,41
479,42
867,26
299,39
189,15
168,27
937,9
10,18
68,25
957,11
996,21
395,26
824,11
845,42
540,11
865,14
458,25
791,42
660,11
406,22
661,22
270,42
146,42
109,26
749,20
645,23
870,26
674,42
312,26
774,44
325,22
713,26
177,22
603,11
384,41
352,41
314,41
805,22
55,22
963,41
514,11
580,33
741,42
428,42
505,26
221,11
734,34
5,23
893,34
328,11
32,42
583,49
533,11
778,25
69,35
655,18
151,42
411,42
804,42
443,11
777,7
367,42
603,26
223,39
426,42
141,26
601,11
407,11
30,14
914,42
123,18
878,22
433,14
516,9
893,26
369,22
964,39
858,44
366,11
194,2
741,22
744,22
397,34
384,42
50,11
474,40
687,42
132,11
343,23
68,11
322,42
207,25
107,34
417,26
826,25
981,20
657,11
344,39
705,11
550,10
838,22
265,11
365,26
131,42
741,11
926,42
20,11
919,11
908,42
749,23
298,22
573,11
683,43
40,25
21,15
484,22
492,34
598,10
79,7
777,42
950,29
529,42
314,11
899,42
766,42
158,42
957,27
434,31
984,11
750,42
300,21
27,18
988,32
585,34
56,42
939,23
306,26
576,42
573,22
258,31
71,11
86,42
177,11
